raceId,tempmax,tempmin,temp,dew,humidity,precip,snow,snowdepth,windspeed,winddir,pressure,cloudcover,visibility
886,74.3,58.8,65.2,54.9,72.5,0.001,0,0,10,268.3,1018,54.8,10.7
887,70.9,55.7,62.5,55.1,78.1,0,0,0,13,245,1021.3,56.8,14.9
888,76.9,59.4,68.2,53.9,62.8,0,0,0,14,55.9,1028.6,12.4,7.6
890,97,68.5,83.8,59.3,49.1,0,0,0,10.7,166.5,1014.2,26.7,18.9
891,61.5,52.5,56.4,53.7,91,0.466,0,0,8.2,159,1012.5,67.6,8
892,74.4,67,70.5,63,77.3,0.235,0,0,11.1,104.2,1017.8,71.2,6.1
893,91.2,81.7,85.5,75,71.8,0,0,0,13,179.9,1008.6,89.2,6.4
894,79.8,66.2,72.1,64.7,78,0.012,0,0,12.8,59.8,1019.7,70,6.9
895,76.7,57.1,66.4,48.7,54.6,0,0,0,10.9,316,1019.1,2.9,12.9
896,86.1,65.3,73.4,60.9,69,0,0,0,7.5,297.1,1011.1,0,0.8
897,96.8,75.9,84.9,63.3,51.3,0,0,0,12.2,132.4,1013.2,9.8,6
898,89.2,64.6,75.6,67.2,77.9,0,0,0,11.1,190.2,1009.8,54.5,9.7
899,71.9,64.2,66.9,61.7,83.5,0.358,0,0,13,130.9,1017.7,98.3,5.4
900,67,53.3,59.2,44.1,59.1,0.022,0,0,23,298.7,1005.8,58,7.8
901,91.5,75.2,82.5,75.2,80,0.009,0,0,10.3,169.4,1008.2,88.5,5
902,80.5,67,73.5,47.4,40.9,0,0,0,19.4,325.6,1017.9,0,7
903,62.4,55.4,58.9,51.8,77.6,0.004,0,0,10.4,50.3,1016.8,86.9,5.7
904,76.7,60.4,66.1,57.2,74.8,0.004,0,0,14.7,124,1016.8,42.9,7.2
905,68.6,55.6,63.1,48.7,59.8,0,0,0,15,272.7,1017.1,70.5,21.7
906,82,60.2,71.9,51.9,51.2,0,0,0,10.1,240,1012,13.1,11.6
907,80.2,44.6,64,47.1,59.1,0,0,0,8.1,62.4,1017.3,28.4,22.6
908,67.1,52.2,59,48.5,70,0.022,0,0,10,256.4,1004.9,57.3,20.7
909,79.7,67.9,74,61.6,65.8,0.075,0,0,12.1,197.8,1010.1,89.5,6.2
910,79.3,68,73.1,64.8,75.5,0.146,0,0,8.4,55.7,1012.7,58,12.6
911,58.2,43.1,50.5,44,79.8,0.04,0,0,9.5,247.7,1019.2,53.5,18.6
912,78,63.7,69.9,62,76.6,0.003,0,0,5.6,88.1,1013.5,47.7,6.2
913,89.9,73.5,82.8,73.9,76.5,1.103,0,0,12.7,220.4,1011.5,85.3,4.9
914,67.7,63.9,66,63.7,92.3,0.737,0,0,6.4,354.8,1013.9,100,4.8
915,71.7,53.6,62.3,52.2,70.3,0,0,0,13.4,45.2,1016.8,19.4,6.5
916,74.9,39.8,58.2,44.8,64.1,0,0,0,17.4,156.8,1024.3,58.4,9.9
926,65.8,57,60.2,48.1,65.3,0.077,0,0,19.4,178.2,1016.6,66.7,6.2
918,86,65,75,64,71.3,0,0,0,14.3,108.4,1013.4,5.5,5
927,94.7,77,83.5,74.5,75.9,0,0,0,16.1,88.5,1009.3,88.5,6.1
928,70.8,54.5,60.9,46.4,60.7,0,0,0,15.7,145.3,1019.6,62.7,6.3
929,84.7,72.4,78,50.9,39.6,0,0,0,23.9,322.5,1011.8,0,5.9
930,83.9,59.1,70,57.3,68.3,0,0,0,13.2,217,1023.9,36.5,7.3
931,67.3,60.7,64.3,52.7,66,0.002,0,0,9.9,163,1014.7,86.5,15.9
932,71,51.5,62.9,40.9,46.2,0,0,0,11.7,154,1017.5,48,11.5
933,61,41.7,53.2,41.3,65.8,0,0,0,11.4,45.6,1018.6,77,20.3
934,69.4,52.4,59.7,51.1,73.9,0.053,0,0,12,234.9,1017.6,53.9,20.8
936,78.4,63.1,71.1,50.2,49.9,0.329,0,0,17.9,307.3,1012.1,60.4,32.6
937,72.9,53.9,61.6,48.6,64.9,0.151,0,0,19.2,137.2,1008,33.9,7.3
938,72.9,51,61.9,44.3,54.2,0.002,0,0,8.2,321.1,1017.1,7.3,6.2
939,91.2,80.4,85.3,76.4,75.7,0,0,0,9.2,88.5,1009.8,85.6,4.2
940,82.5,66.6,73.3,64.4,75,0.058,0,0,8.8,312.3,1011.5,57.5,10.3
941,66.2,50,57.9,43.9,60.9,0,0,0,13.4,59.7,1020,68.6,6.4
942,64,57.8,61.1,57.9,89.9,0.632,0,0,21.1,344.5,1015.8,99.1,8.7
943,75.2,48.3,62.8,52.8,73.5,0.008,0,0,12.8,120.3,1018.5,73.8,6.9
944,83.7,66.9,72.1,63.9,76.1,0.197,0,0,12.5,172,1015.5,75.5,6.7
945,82.4,68.3,75.9,64.6,69.6,0,0,0,15.6,267.3,1015.9,29,5.7
948,72.2,50.6,61.9,47.4,61.1,0.007,0,0,9.4,144,1019.6,29.8,6.2
949,79.4,61.3,70.3,43.6,43.6,0,0,0,11.4,318.6,1017,36,7
917,76.6,64.8,69.6,59.5,70.9,0.012,0,0,16.1,142.4,1016.6,81.8,6.2
950,71.3,58.8,64.1,47.3,57.2,0.004,0,0,14.2,354.7,1015.5,60.6,6.2
951,62.6,50,57.3,51,79.9,0,0,0,8.9,141.6,1018.7,63,6.2
952,73,56.1,64.2,55.4,74.4,0,0,0,14,117.6,1017.2,31,8.2
953,71.8,61.1,65.4,58.9,80.5,0.586,0,0,19.2,226,1008.6,70.1,10.9
954,59.8,50.4,54,44.9,71.9,0,0,0,10.8,357.9,1003.3,84.9,10
955,91.4,73.4,80.4,63.1,57.2,0,0,0,15.2,337.8,1015.9,78.2,7.8
956,64,53.9,59.2,51.6,76.4,0.081,0,0,4.5,297.3,1020.2,83.4,7.8
957,69.6,59.2,64.1,58.3,82.4,0.036,0,0,14.2,215.2,1007.4,72,14.9
958,86,68.8,76.8,65.6,70.4,0,0,0,8.2,79.8,1016.7,42.3,16
959,76.1,61,69.4,58.2,69.4,0.044,0,0,9.9,302.2,1013.3,59.4,13.4
960,79.6,59,69,57.3,67.4,0.035,0,0,13.4,236.3,1015,29.6,7.7
961,82.2,67.4,74.7,63.1,68.2,0,0,0,6.3,296.1,1016,42,5.8
962,92.8,74.5,84.3,74.9,74.8,0.245,0,0,12,249.5,1008.8,88,6.1
963,93.2,76.9,84.3,74.2,73,0,0,0,10.3,314.7,1009.5,88.5,6.1
964,72.6,62.1,68.6,59.4,73.9,0.473,0,0,10.7,317.7,1010.5,79.5,9.5
965,84.1,48.6,65.8,53.4,68.7,0,0,0,13.1,168.8,1020.8,67.8,9.5
966,71.5,37.5,54.7,45.6,74.9,0.039,0,0,15,312,1023.7,75.8,5.8
967,65.6,62.6,63.9,60.6,89.2,0.012,0,0,9.6,140,1016.4,97,5.2
968,84.2,66.7,75.4,59.9,60.1,0,0,0,11.2,21.8,1016.4,6.3,6.1
969,76.6,66.8,70.3,63,78.2,0,0,0,8.1,197.7,1013.4,61,6.2
970,58,51.9,54.5,51.3,89.1,0.22,0,0,17.9,34.6,1011.8,81.9,4.6
971,85.9,76.4,80.5,63.1,56.2,0,0,0,26.4,329.9,1008.5,39.4,5.8
972,77,51.8,64.6,48.2,57.7,0,0,0,13.4,0.3,1013.5,10.7,6.6
973,75.2,59.3,67.9,53.1,60.5,0,0,0,12.3,119.1,1022.4,40.7,7.6
974,77.8,66.6,72.4,54.9,54.9,0,0,0,7.4,73.3,1020.6,19.3,19.1
975,84.2,70.3,78.1,60,54.4,0,0,0,9.6,202.9,1008.6,19.6,11.3
976,86,71,77.3,68.8,76.5,0,0,0,16.6,252.8,1010.6,39.7,6.4
977,83.5,59.6,71.5,57.5,64.1,0.088,0,0,13.3,55.7,1014.3,78.6,20.7
978,71.6,60.5,66.3,60.8,82.6,0.005,0,0,10.4,273.7,1022.3,83.2,21.5
979,88,59.1,75.1,57.9,59.1,0,0,0,8.5,130.2,1016.8,29.2,28.4
980,71.7,52.8,61.8,56.5,84,0.002,0,0,5.3,49.9,1018.6,60.9,5.1
981,74.9,54.6,63.9,44.6,52.8,0,0,0,8.2,4.4,1011.1,41,8.1
982,91.2,81.7,84.6,75.6,75.5,0.105,0,0,10.7,147.8,1010.9,64.1,6.2
983,89.6,75.2,82.3,76.3,82.8,0,0,0,6.9,337.3,1010.1,44.7,5.5
984,78.9,62.7,70.3,64.2,81.9,0,0,0,5.6,349.6,1022.2,43.8,9.2
985,77.1,54.5,69.8,62.3,80,0.697,0,0,16.6,356.7,1017.7,49.5,9.3
986,74.3,46.5,60.8,47.3,63.9,0,0,0,13.2,88.1,1017,48,5.1
987,82.4,56,69.6,47,50.1,0,0,0,12.5,285.8,1010.8,23.6,6.9
988,79.1,71.9,75.4,57.5,54.2,0,0,0,13.9,308.2,1019.4,34.2,6.2
989,76.4,53.8,69.9,52.5,56.8,0.044,0,0,15.4,325,1000.8,75.5,6.2
990,83.5,75.2,79.2,62.9,58.1,0.012,0,0,11.7,13.7,1010.6,32.5,4.5
991,67.8,51.8,59.5,42.2,57.6,0.004,0,0,13.5,323.3,1019.1,20.1,5.3
992,71.6,53.6,59.6,47.2,63.9,0.002,0,0,31.6,330.1,1019.3,72.1,6.3
993,61.8,49,55.3,46.9,74.4,1.199,0,0,10.7,198,1015.1,64.5,7.3
994,77.6,70.3,73.4,60.8,64.6,0,0,0,16,55.8,1016.4,82.4,12.5
995,67.9,53.2,61,35,38.1,0,0,0,7.2,29.1,1019.5,17.3,12
996,79.8,61.5,71,61.5,73,0.036,0,0,13.7,117.4,1016.3,84.4,13.2
997,65.5,48.8,56.8,45,65.3,0,0,0,10.1,317.9,1014.1,62.3,14
998,84.3,58.7,72.3,55.2,58.1,0,0,0,9.9,9.3,1025.6,18.4,19.5
999,78.8,62.5,68,62.3,83.3,1.12,0,0,7.6,283,1013.8,67.6,5.8
1000,91.9,69.3,80.2,65.2,63.5,0.001,0,0,8.2,339,1011.5,46.1,12.6
1001,60.5,36.6,50.2,39.6,71.1,0,0,0,6.6,218.7,1017,85.7,9.2
1002,67.8,58,63.2,58.2,84.2,0.173,0,0,9.2,70.1,1016.7,65.5,5.9
1003,87.3,81.1,84,72.2,68,0.009,0,0,14.1,168.6,1008.2,86.7,6.2
1004,75.2,62.6,67,60.3,79.5,0,0,0,11.2,42.4,1016.8,66,6.6
1005,81.5,67.4,74.8,64.4,71.3,0.001,0,0,9.5,316.5,1012.3,28.3,11.3
1006,73.8,56.1,63.7,48.4,59.6,0,0,0,13.4,24.2,1024,69.8,9.9
1007,78.7,48.3,60.1,49.9,70.6,0.005,0,0,13.9,0.5,1021.3,82.3,6.9
1008,79.7,66.2,70.7,63.8,80,0,0,0,14.2,142.8,1015,76.9,5.9
1009,92.9,73.4,80.7,63,57.9,0.02,0,0,22,134.4,1015.2,19.4,4.9
1010,76.7,60,67.6,61.3,81.8,0,0,0,9.3,213,1017.4,8.9,6.1
1011,79.5,70.4,75.6,63.1,65.7,0,0,0,24.6,82.5,1008.1,39.6,6
1012,67.3,50.9,60.3,50.9,72.5,0,0,0,18,19.7,1018.4,20.7,5.5
1013,68,48.2,59,47.2,67.3,0,0,0,28.1,176.4,1013.2,11.4,6.4
1014,70.7,51,61.1,50.5,70.6,0,0,0,13.4,127.9,1022,19.9,7.1
1015,69.8,59.9,65.1,56.6,74.2,0.013,0,0,8.6,238.7,1012.3,64.3,12.3
1016,85.3,59.9,73.2,38.7,31,0,0,0,6.1,180.8,1023.8,13.6,11.9
1017,83.3,60.9,72.9,61.6,69.2,0,0,0,15.2,240.1,1014.7,67.1,16.5
1018,92.5,55.1,74.4,53,54.1,0,0,0,9,193.2,1018.3,15.8,24.9
1019,67.2,55,60.2,54,80.9,0,0,0,9.7,46.2,1023.7,67.8,17.3
1020,73.2,66.7,68.6,64.7,87.5,0.339,0,0,12.7,292.4,1002.1,96.6,8
1021,77.7,59.6,68.3,54.2,64,0.002,0,0,7.8,316.3,1013.8,15.7,6.2
1022,63.2,50.6,56.2,50.1,80.9,0.004,0,0,9,281.2,1015.3,73.7,17.6
1023,62.8,51.2,57.4,49.9,76.6,0.527,0,0,14.1,356.4,1012.4,56,6.1
1024,91.9,80.5,85.4,74.1,69.6,0,0,0,10.4,128.5,1010.3,64,2.7
1025,71.4,55.4,63,56.4,79.8,0.004,0,0,11.2,77.9,1017.2,35.6,6.7
1026,74,64.7,69.6,56.9,64.3,0,0,0,16.6,308.1,1011.5,27.6,12.6
1027,78.7,51.7,61.6,54.5,79.2,0.091,0,0,13.8,279.8,1016.2,70.3,4.8
1028,73.1,36.6,55.2,40.2,62.9,0,0,0,13.2,170,1022.1,38.5,9.9
1029,73.8,58.7,64.5,54.8,71.6,0,0,0,15.1,144,1015.5,50.9,6.9
1030,82.4,68.3,75.2,64.8,71.5,0,0,0,10.7,294.5,1016.5,27.1,5.4
1031,81.7,50.3,66.6,51.8,63.2,0,0,0,9.3,21.5,1016.9,17.1,24.9
1032,68.5,51.5,58.6,46.1,67.4,0,0,0,11.1,66.6,1024.1,64,19.9
1033,70.9,57.7,63.6,60.5,89.8,0.191,0,0,6.5,11.9,1014.8,72,6
1034,71.2,49.9,61.3,49.1,66.5,0.001,0,0,11.1,261.8,1016,44,24
1035,81.1,59.1,68.1,60.4,78.3,0,0,0,12.2,42.6,1018.8,69.2,11.1
1036,84.1,69.1,77.3,68.6,75.5,0,0,0,12.2,107.6,1011.2,45.7,6.8
1037,60.9,41,51.7,48.2,89.1,0.376,0,0,9.2,299.3,1010.2,84.4,4.8
1038,79.2,60.6,70,57.3,65.8,0.022,0,0,6.3,270.6,1013.1,29.9,6.2
1039,89.4,64.4,77.5,59,55.2,0,0,0,12,23.6,1022.3,1.3,6.2
1040,84.2,66.1,73.9,59.6,61.9,0,0,0,13.4,69.4,1012.6,7.2,6.6
1041,49.8,41.4,45.4,39.4,80.3,0.004,0,0,9.3,263.3,1020.5,63.1,22.2
1042,68.7,53.2,62.4,58,85.6,0.062,0,0,16.1,257.9,1021.5,57.6,7
1043,61.7,52,55.7,53.5,92.5,0.005,0,0,4.6,236.6,1022.4,69.3,4.3
1044,58.7,49.6,53.5,48.2,82.5,0.001,0,0,10.2,30.1,1023.3,79.6,6.4
1045,82.5,73.2,76,64.4,68,0.012,0,0,26.8,140.1,1015.9,36.3,6.4
1046,80.4,66.3,74.1,63.3,70.4,0.004,0,0,20.7,256.5,1011.8,37.6,5
1047,75.7,63.4,70.7,54.7,57.6,0,0,0,11.6,305.8,1017.1,30.6,6.2
1052,74.9,68,71.2,50.8,48.8,0,0,0,29.3,330.2,1015.2,0,5.7
1053,57.5,42.3,49.8,36.6,60.9,0.014,0,0,6.2,86.9,1015.8,43.4,6.2
1054,65.2,49.1,59,43,56,0,0,0,16.5,328,1017.7,49,7.4
1055,72.2,54.1,63.5,55.8,76.7,0,0,0,11.2,80.5,1009.9,61.9,6.6
1056,73.5,58.5,63.9,54.8,74,0,0,0,22.1,53.5,1014.6,87.6,15.3
1057,77,65.9,70.7,59.6,68.5,0.002,0,0,26.3,332.2,1012.8,41.1,6.3
1059,79.8,72.2,75.7,68.1,77.7,0.024,0,0,16,108.5,1010.9,89.6,10.8
1058,80.2,54.8,68.4,55.6,65.8,0.057,0,0,13.2,305.1,1015.9,81.3,13.7
1060,71.2,60.1,65,52.9,65.4,0.001,0,0,6.7,109.8,1011.8,93.5,12.4
1061,84.6,60.4,73.7,60.8,66.5,0,0,0,5.5,335.9,1024.9,13.1,20.4
1062,85.3,64.7,72.9,65,77.2,0.342,0,0,15.5,3.1,1007.5,61,6.1
1063,55.6,50.8,52.6,52.1,98.1,0.487,0,0,10.8,340.7,1019.7,99.6,4.9
1064,70.4,51.9,60.9,54,79.8,0,0,0,11.2,60.4,1021.4,53.8,15.7
1065,80.7,60.3,69.7,56.1,64.5,0,0,0,5,46.1,1016.1,30.7,6.2
1066,64.9,51.8,58.1,50.6,76.7,0.054,0,0,11.2,56.3,1022.8,95.6,6.4
1067,62.8,59.2,61.5,59.9,94.6,0.019,0,0,16.3,33.5,1020.9,88.2,5.3
1069,85.7,67.1,74.6,68.3,82.4,0.011,0,0,11.2,174.6,1009.9,67.1,7.6
1070,73.5,44.5,57.3,42.9,64.6,0,0,0,16.1,1.4,1022.7,31.8,6.7
1071,75.3,57.3,63.2,53.4,71.7,0,0,0,16.1,125,1019,66.8,6.9
1051,84.3,77.7,80.3,68.2,67.1,0,0,0,15,115.1,1013.2,4.2,7.1
1072,89.8,75.2,82.5,68.7,64.4,0,0,0,9.2,260.3,1013.3,7.7,6
1073,78.8,71.3,74.5,59.9,60.8,0,0,0,12.4,306.4,1018.3,34.8,6.2
1074,80.3,61.1,70.3,41.4,37.3,0,0,0,19,314,1012.1,0.4,6.8
1075,92.6,66.2,78.3,52,45.6,0,0,0,16.1,322.5,1013,3.1,5.1
1076,79.7,61.9,70.5,56.6,63.2,0,0,0,15,353.3,1017,40.1,6.2
1077,60.7,51.2,54.9,50.1,83.8,0.419,0,0,9.1,138.1,1005.6,63,6.1
1078,89.4,73.4,80.3,70.1,72.1,0.016,0,0,14.8,257.8,1010.8,25.3,9.9
1079,95.5,62.7,78.8,46.9,38.7,0,0,0,17.3,228.6,1012.3,2.6,7.2
1080,75.3,68.7,72,62.4,71.9,0.001,0,0,19.5,159.6,1003.5,60.1,11.5
1081,82.6,60.8,74.2,56,56.2,0,0,0,18.3,163.1,1008.5,29.6,6.4
1082,71.4,50,60.4,37.5,44.9,0,0,0,10.9,353.5,1014.3,14.1,11.9
1083,66.7,48.7,58.2,49.9,75.6,0.044,0,0,8.4,272.1,1019.1,45.2,24.7
1084,70.6,56,61.2,49.3,67.8,0.047,0,0,17.7,269,1018.8,73.8,15.5
1085,89.8,70.6,81.6,68.7,65.8,0,0,0,11.5,198,1015.8,4.2,13.4
1086,69.2,62.6,66.1,56.7,72.1,0.5,0,0,20.7,299.4,1013.1,70,6.2
1087,67.9,52.8,59.3,49.2,71.7,0,0,0,8.1,49.8,1019.5,50.6,7.8
1088,75.6,60,67.7,59.3,75.1,0,0,0,8.9,130.3,1016.4,83.3,18.4
1089,79.4,58.9,68.9,53.8,61.3,0,0,0,6.2,314.7,1014.7,23.2,6.2
1091,90.7,75.2,81.2,73.6,79.1,0.943,0,0,9.1,359.3,1009,79.1,5.8
1092,67.2,57.8,61.4,57.6,87.5,0.355,0,0,6.3,325.6,1021.2,93.5,10.2
1093,87.2,61.6,74.8,64.6,73.2,0,0,0,22.4,172.3,1010,69.5,9.9
1094,75.3,56,65.9,51.4,63.5,0.015,0,0,9.1,101.1,1019.8,73,5.7
1095,86.1,66.1,71.7,61.3,72.5,0,0,0,13,120.9,1014.5,56.8,6.6
1096,86,79.1,82.1,68.7,64.3,0,0,0,16.9,313,1014.8,17.8,6.2
1098,85.3,68.1,76.8,48,38.3,0,0,0,8.5,153.9,1018.5,0.7,6.6
1099,88.8,68.4,78.5,49.9,39.5,0,0,0,16.1,309.6,1011,28.2,6.2
1100,64.6,47.6,56.6,46,68.5,0,0,0,7.9,159.4,1020.5,29,
1101,78.7,58.9,66.6,55.9,69.4,0.004,0,0,22.1,332.7,1006.7,59.4,6.3
1102,82.1,74.1,77.4,66.1,68.7,0.027,0,0,19.9,72.1,1019.2,62.5,9.9
1104,75.5,65.5,70.7,57,62.3,0,0,0,14.1,323.6,1014,71.5,13.2
1105,76.5,59.2,67.1,58.2,74.2,0,0,0,12.8,148.5,1014.9,54.7,7.1
1106,65.8,52.8,59.1,52.8,80.2,0.002,0,0,7.2,31.6,1012.7,85.7,10.1
1107,73.5,54.2,62.9,54.8,76.6,0.004,0,0,8.9,206.3,1010.8,62.2,
1108,71.9,57.3,63.9,56.5,79,0.007,0,0,12.7,208.5,1018.1,45.4,16.4
1109,85.7,59.6,74.7,56,55,0,0,0,9.7,216.5,1016.2,22.7,6.2
1110,62.7,52.7,56.8,52,84.9,0.038,0,0,15.1,244.9,1013.7,89.2,6.6
1111,63,55.1,59.9,54,81.3,0.417,0,0,14.5,230.3,1008.2,29.4,8.7
1112,85.2,62,72.8,62.2,71.6,0,0,0,7,268.4,1021.9,62.2,6.2
1113,90.1,81.9,84.5,76.6,77.8,0.133,0,0,15.1,101.1,1009.5,77.9,6.1
1114,80.5,71.4,75.1,61.5,62.9,0,0,0,15,279.4,1016.6,43.7,7
1115,101.3,84.4,91.8,77.3,67,0,0,0,11.7,21.9,1009.4,2,5.9
1116,88.1,62.5,75.5,65.3,73.8,0,0,0,14.5,158.2,1011.9,63.6,8.8
1117,78.9,49.6,64.9,47.1,59.6,0,0,0,13,19.7,1015.3,26.6,6.6
1118,70.3,57.2,63,53.2,71.5,0,0,0,13.8,150.2,1018.6,38,7
1119,65.3,55,61,30.9,35.2,0,0,0,29.9,322.7,1014.4,18.9,9.9
1120,83.9,69.9,77.4,62.2,60.8,0,0,0,13.3,336.1,1015.2,19.7,6.2
1121,69.1,56.9,62.9,41.9,47.1,0,0,0,11.7,339.4,1018.4,60,6.6
1122,86,66.4,77.1,52.1,44.4,0,0,0,15,320.1,1013.3,0,6.2
1123,71,53.7,61.2,46.9,60.1,0.001,0,0,8.2,238.3,1022.9,51.4,
1124,72.2,53.5,62,53.8,76.6,0,0,0,8.6,40.4,1017.8,84.4,9.6
1125,67.7,58.9,62.7,55.1,76.7,0.036,0,0,9.4,10,1011.5,79.7,6.4
1126,86,77.7,81,67.2,63.3,0,0,0,16,106.4,1017,41.5,9.9
1127,76.8,59.5,67.5,58.9,75.1,0,0,0,7.5,83.3,1011.1,48.3,6.1
1128,70.7,59.5,65.7,58.2,76.9,0,0,0,8.3,157.5,1018.2,53.9,12.9
1129,63,57,60.4,54.1,80.1,0.204,0,0,5.4,191.4,999.1,84.3,10.1
1130,74.9,66,69.4,59.2,70.5,0.031,0,0,11.2,158.5,1016.2,84.8,6.9
1131,84.4,62,74.1,58,59.8,0,0,0,15.5,222,1008.9,61.5,
1132,63.2,49,55.5,48.5,78.4,0.196,0,0,9.9,232.6,1008.7,57.6,22.3
1133,86,69.7,76.2,62.7,64.2,0.02,0,0,8.5,272.3,1008.9,65.4,6.5
1134,67.3,52.8,59.2,51.8,78.9,0.013,0,0,6.5,329.3,1024.5,34.9,6.6
1135,67.1,58.5,63,52,68,0.382,0,0,19.8,239.7,1016.9,60.8,19.9
1136,88.9,69.4,78.1,63.5,63.5,0,0,0,5.5,317.2,1015.1,42.1,6.2
1137,80.6,62.6,72.3,56.2,58.4,0,0,0,20.8,346.3,1014.4,29.9,6.4
1138,92.9,80.6,86,74.7,70.6,0,0,0,10.7,120.7,1008.5,88.5,6.3
1139,85.7,55.7,68.7,54,63.8,0,0,0,8.9,79.8,1024.8,14.7,9.9
1140,68.1,49,59.2,47.2,65.5,0.008,0,0,17.2,0.4,1020.8,78.8,7.6
1141,73.1,65.9,68.4,65.3,89.7,0.228,0,0,10.9,112.5,1017.3,87.6,4.6
1142,74.1,44.6,61.7,28.3,29.9,0,0,0,20,199,1010,34.6,9.9
1143,74.3,66.1,69.1,51.8,54.7,0,0,0,18.9,310.1,1016.6,7.3,6.2
1144,85.4,69.1,76.9,58.2,56.7,0,0,0,14.3,5.4,1018.1,5.3,5.7
1145,78.2,55.4,65.6,57.2,75.8,0.587,0,0,11.5,236.7,1010.7,86.2,2.2
1146,82.4,53.5,68.7,40.5,40.4,0.008,0,0,17.2,258.3,1013.8,0,6.6
1147,58.6,49.1,53.9,50.2,87.7,0.587,0,0,5.9,17.2,1015.8,78.6,7.4
1148,82.8,76.4,79.4,59.7,51.5,0,0,0,23.9,344,1008.7,13.2,6.4
1149,96.9,82.5,89,61.7,40.9,0,0,0,11.4,285.6,1006.7,1.1,6.2
1150,85.2,74.7,79.2,68.4,70.2,0.285,0,0,14.6,170.6,1013.1,35.9,9.9
1151,74.5,53.4,64.5,47.5,54.9,0.009,0,0,10.4,211.2,1014.8,44.7,6.2
1152,62.8,50.5,57,47.9,72.2,0,,0,11.6,34.8,1016.6,32,11.4
1153,85.4,66.3,76.2,59.7,58.5,0,0,0,11.8,168.1,1017.9,54.2,7.2
1154,75.1,55.1,65.2,40,41.2,0,0,0,5.7,58.5,1020.7,0.7,11.7
1155,88.9,56.6,73.6,55.6,57.5,0,0,0,12.2,53.8,1021.1,2.1,24.9
1156,67.6,58,62.2,55.2,78.8,0.182,0,0,14.8,300.7,1006.9,76.5,25.5
1157,61.9,52.4,58.1,56.1,93,0.276,0,0,6.8,322.1,1014.6,46.1,6.1
1158,73.5,62.6,68.2,59,73.5,0.35,0,0,17.1,315,1014,75.5,6.2
1159,69.6,58,63.4,54.1,73,0.171,0,0,14.7,190.2,998.3,63.4,6.1
1160,79.3,55.4,65.9,55.7,72.3,0,0,0,4.1,258.2,1019.4,2.8,6.5
1161,70.9,60.7,65.5,55,69.2,0.028,0,0,28.9,326.1,1017.3,49.2,6.3
1162,91.2,78.5,84.6,73.9,71.5,0,0,0,10.6,109.4,1011.9,88,6.2
1163,84.9,59.4,73.5,46,41,0,0,0,22.7,14.7,1017.1,1.9,9.9
1164,79.2,51.7,66.2,43,45.8,0,0,0,10.8,357.1,1009.1,11.6,7.4
